as,p
1,0.131
2,0.112
3,0.11
4,0.104
5,0.068
6,0.067
7,0.024
8,0.023
9,0.021
10,0.017
11,0.015
12,0.014
13,0.014
14,0.013
15,0.012
16,0.011
17,0.011
18,0.009
19,0.008
20,0.008
21,0.008
22,0.006
23,0.006
24,0.006
25,0.005
26,0.004
27,0.004
28,0.004
29,0.003
30,0.003
31,0.003
32,0.003
33,0.003
34,0.003
35,0.003
36,0.002
37,0.002
38,0.002
39,0.002
40,0.002
41,0.002
42,0.002
43,0.002
44,0.002
45,0.002
46,0.002
47,0.002
48,0.002
49,0.002
50,0.002
51,0.002
52,0.002
53,0.001
54,0.001
55,0.001
56,0.001
57,0.001
58,0.001
59,0.001
60,0.001
61,0.001
62,0.001
63,0.001
64,0.001
65,0.001
66,0.001
67,0.001
68,0.001
69,0.001
70,0.001
71,0.001
72,0.001
73,0.001
74,0.001
75,0.001
76,0.001
77,0.001
78,0.001
79,0.001
80,0.001
81,0.001
82,0.001
83,0.001
84,0.001
85,0.001
86,0.001
87,0.001
88,0.001
89,0.001
90,0.001
91,0.001
92,0.001
93,0.001
94,0.001
95,0.001
96,0.001
97,0.001
98,0.001
99,0.001
100,0.001
